loss	auc	accuracy	kappa	val_loss	val_auc	val_accuracy	val_kappa	lr
1.737865924835205	0.54200279712677	0.5371187925338745	0.0711507797241211	0.6501888632774353	0.6250170469284058	0.6127411127090454	0.11420577764511108	0.0010000000474974513
0.6839829683303833	0.617510199546814	0.5823541283607483	0.1615504026412964	0.6389709115028381	0.6567953824996948	0.6287693381309509	0.21052110195159912	0.0010000000474974513
0.6558166742324829	0.6548282504081726	0.6078584790229797	0.21372908353805542	0.6393865942955017	0.6675176620483398	0.6204835772514343	0.2245633602142334	0.0010000000474974513
0.6463733315467834	0.6696511507034302	0.6148543357849121	0.22437137365341187	0.6427171230316162	0.6468095183372498	0.6207552552223206	0.1898421049118042	0.0010000000474974513
0.6361094117164612	0.6862850785255432	0.6300686001777649	0.2525784373283386	0.6457611918449402	0.6484851837158203	0.6150502562522888	0.17443883419036865	0.0010000000474974513
0.6289644241333008	0.6981551647186279	0.640698254108429	0.27178263664245605	0.6405767798423767	0.6612358689308167	0.6301276683807373	0.22237122058868408	0.0010000000474974513
0.6228495240211487	0.7067626714706421	0.64976567029953	0.2895314693450928	0.649952232837677	0.6663133502006531	0.6128769516944885	0.21809464693069458	0.0010000000474974513
0.5904738903045654	0.7484537959098816	0.6804659366607666	0.34934884309768677	0.6385746598243713	0.6844882965087891	0.6310784816741943	0.24964600801467896	0.00020000000949949026
0.5743672847747803	0.766547441482544	0.6951368451118469	0.37915652990341187	0.6399227976799011	0.6829637289047241	0.6346101760864258	0.25509244203567505	0.00020000000949949026
0.5599044561386108	0.7831252813339233	0.7102492451667786	0.4095328450202942	0.6370396018028259	0.6874020099639893	0.6461559534072876	0.26667338609695435	0.00020000000949949026
0.5454102158546448	0.7966406941413879	0.7207430601119995	0.43092507123947144	0.6390389800071716	0.6870166063308716	0.6481934189796448	0.26434218883514404	0.00020000000949949026
0.5311066508293152	0.8099067807197571	0.7305915951728821	0.4502500891685486	0.6456430554389954	0.6928409934043884	0.6382776498794556	0.2693602442741394	0.00020000000949949026
0.5212991237640381	0.8190135359764099	0.7396929860115051	0.4687798023223877	0.6604034304618835	0.6722456216812134	0.6399076581001282	0.25154179334640503	0.00020000000949949026
0.5089877247810364	0.8284705281257629	0.7471303343772888	0.48443061113357544	0.6424182653427124	0.6933084726333618	0.6536267399787903	0.2840504050254822	0.00020000000949949026
0.4939599335193634	0.8417076468467712	0.7600013613700867	0.50957190990448	0.6619367599487305	0.690833330154419	0.6346101760864258	0.2646995186805725	0.00020000000949949026
0.472493976354599	0.8584560751914978	0.7760646343231201	0.541633665561676	0.6610151529312134	0.6965633630752563	0.6450693011283875	0.2773745656013489	4.0000002627493814e-05
0.46760571002960205	0.8610290884971619	0.7782720923423767	0.5465813875198364	0.6586172580718994	0.6990843415260315	0.647514283657074	0.2810559868812561	4.0000002627493814e-05
0.45775240659713745	0.867598295211792	0.7837397456169128	0.5571781396865845	0.662924587726593	0.696559488773346	0.6515892148017883	0.2830433249473572	4.0000002627493814e-05
0.45414578914642334	0.8703308701515198	0.7869999408721924	0.5646902918815613	0.6717703342437744	0.6972890496253967	0.6439825892448425	0.27585357427597046	4.0000002627493814e-05
0.45055490732192993	0.8718459010124207	0.7867282629013062	0.564274251461029	0.6646595001220703	0.69776850938797	0.652404248714447	0.2860218286514282	4.0000002627493814e-05
