loss	auc	accuracy	kappa	val_loss	val_auc	val_accuracy	val_kappa	lr
3.7929739952087402	0.5276755094528198	0.5406506657600403	0.04484093189239502	1.744882345199585	0.5791849493980408	0.5952187180519104	0.008356332778930664	0.0010000000474974513
1.0687986612319946	0.5666508078575134	0.5777355432510376	0.10613662004470825	0.6617134809494019	0.6112417578697205	0.6047269701957703	0.05845141410827637	0.0010000000474974513
0.6531590223312378	0.6451549530029297	0.6290497779846191	0.188257098197937	0.6477799415588379	0.6336060762405396	0.6256452202796936	0.15445417165756226	0.0010000000474974513
0.6246821880340576	0.6810800433158875	0.6532296538352966	0.24235773086547852	0.6520508527755737	0.6228325963020325	0.6183102130889893	0.13748091459274292	0.0010000000474974513
0.6007874608039856	0.7170318961143494	0.6750322580337524	0.2921498417854309	0.6520408391952515	0.6316686868667603	0.6280902028083801	0.16430407762527466	0.0010000000474974513
0.5716632008552551	0.7531757354736328	0.7009441256523132	0.35117924213409424	0.677552342414856	0.6092650294303894	0.6203477382659912	0.15741270780563354	0.0010000000474974513
0.535319983959198	0.7919202446937561	0.7250220775604248	0.4086099863052368	0.6884313821792603	0.6129035353660583	0.6180385947227478	0.14760571718215942	0.0010000000474974513
0.4915853440761566	0.8300976157188416	0.7561298608779907	0.47893041372299194	0.7012249827384949	0.6061046123504639	0.6126052737236023	0.14776837825775146	0.0010000000474974513
0.3833783268928528	0.9063970446586609	0.8244583010673523	0.6280432939529419	0.7895930409431458	0.6380499005317688	0.6276826858520508	0.20592248439788818	0.00020000000949949026
0.34417837858200073	0.9244765639305115	0.8445629477500916	0.6722270846366882	0.8222546577453613	0.6306130290031433	0.6206194162368774	0.19301027059555054	0.00020000000949949026
0.3182523250579834	0.9362245798110962	0.859301745891571	0.7040716409683228	0.8670096397399902	0.6303515434265137	0.6227927207946777	0.1970992088317871	0.00020000000949949026
0.29491397738456726	0.9459671974182129	0.8708483576774597	0.7286771535873413	0.897297739982605	0.634358286857605	0.6215702295303345	0.202764093875885	0.00020000000949949026
0.27479085326194763	0.9536889791488647	0.881443977355957	0.7516437768936157	0.9368403553962708	0.6332619190216064	0.6196685433387756	0.20077580213546753	0.00020000000949949026
