loss	auc	accuracy	kappa	val_loss	val_auc	val_accuracy	val_kappa	lr
0.6707262396812439	0.554100751876831	0.5943421721458435	0.003171265125274658	0.661715567111969	0.6035510301589966	0.5954903364181519	0.0008594989776611328	0.0010000000474974513
0.6608205437660217	0.5860705971717834	0.5983155369758606	0.022002220153808594	0.653239369392395	0.6206798553466797	0.5980711579322815	0.008956074714660645	0.0010000000474974513
0.6521027684211731	0.6167716979980469	0.6032398343086243	0.05264401435852051	0.6464621424674988	0.632844090461731	0.6049986481666565	0.04511380195617676	0.0010000000474974513
0.6379443407058716	0.6493046879768372	0.6217482686042786	0.13781899213790894	0.6284790635108948	0.6692912578582764	0.6342026591300964	0.20794570446014404	0.0010000000474974513
0.6179700493812561	0.687380313873291	0.6465394496917725	0.22415071725845337	0.6277045011520386	0.6722168922424316	0.6325726509094238	0.168584406375885	0.0010000000474974513
0.5988430380821228	0.7148712873458862	0.6674250960350037	0.27578550577163696	0.6362435817718506	0.664033830165863	0.631893515586853	0.1441935896873474	0.0010000000474974513
0.5804962515830994	0.7399963140487671	0.6836921572685242	0.316398024559021	0.6183674335479736	0.6887539029121399	0.6510459184646606	0.23631715774536133	0.0010000000474974513
0.5521178841590881	0.7717350721359253	0.7059363126754761	0.3701399564743042	0.6352676749229431	0.6841539740562439	0.6492800712585449	0.22880303859710693	0.0010000000474974513
0.5141757726669312	0.8090441226959229	0.7360931634902954	0.4388221502304077	0.686218798160553	0.6701235175132751	0.6362401247024536	0.22841811180114746	0.0010000000474974513
0.47340792417526245	0.8424988985061646	0.764484167098999	0.5021457672119141	0.7107878923416138	0.6721809506416321	0.6430317759513855	0.23861658573150635	0.0010000000474974513
0.42649757862091064	0.8757013082504272	0.7935543060302734	0.5653332471847534	0.7830633521080017	0.6680060625076294	0.641537606716156	0.23419564962387085	0.0010000000474974513
0.3773343563079834	0.9051772952079773	0.8223527669906616	0.6274397969245911	0.8895272612571716	0.659410834312439	0.6305351853370667	0.23268437385559082	0.0010000000474974513
0.26459091901779175	0.9562593698501587	0.8822590708732605	0.754216730594635	1.0949995517730713	0.6603782176971436	0.6374626755714417	0.2360350489616394	0.00020000000949949026
0.2302304059267044	0.9667588472366333	0.9000203609466553	0.7913983464241028	1.2129831314086914	0.65594482421875	0.6308068633079529	0.2320019006729126	0.00020000000949949026
0.2034262716770172	0.9743497967720032	0.9134008288383484	0.8195072412490845	1.3303993940353394	0.6551887392997742	0.6275468468666077	0.22723054885864258	0.00020000000949949026
